dteday,casual
1/1/2011,331
1/2/2011,131
1/3/2011,120
1/4/2011,108
1/5/2011,82
1/6/2011,88
1/7/2011,148
1/8/2011,68
1/9/2011,54
1/10/2011,41
1/11/2011,43
1/12/2011,25
1/13/2011,38
1/14/2011,54
1/15/2011,222
1/16/2011,251
1/17/2011,117
1/18/2011,9
1/19/2011,78
1/20/2011,83
1/21/2011,75
1/22/2011,93
1/23/2011,150
1/24/2011,86
1/25/2011,186
1/26/2011,34
1/27/2011,15
1/28/2011,38
1/29/2011,123
1/30/2011,140
1/31/2011,42
2/1/2011,47
2/2/2011,72
2/3/2011,61
2/4/2011,88
2/5/2011,100
2/6/2011,354
2/7/2011,120
2/8/2011,64
2/9/2011,53
2/10/2011,47
2/11/2011,149
2/12/2011,288
2/13/2011,397
2/14/2011,208
2/15/2011,140
2/16/2011,218
2/17/2011,259
2/18/2011,579
2/19/2011,532
2/20/2011,639
2/21/2011,195
2/22/2011,74
2/23/2011,139
2/24/2011,100
2/25/2011,120
2/26/2011,424
2/27/2011,694
2/28/2011,81
3/1/2011,137
3/2/2011,231
3/3/2011,123
3/4/2011,214
3/5/2011,640
3/6/2011,114
3/7/2011,244
3/8/2011,316
3/9/2011,191
3/10/2011,46
3/11/2011,247
3/12/2011,724
3/13/2011,982
3/14/2011,359
3/15/2011,289
3/16/2011,321
3/17/2011,424
3/18/2011,884
3/19/2011,1424
3/20/2011,1047
3/21/2011,401
3/22/2011,460
3/23/2011,203
3/24/2011,166
3/25/2011,300
3/26/2011,981
3/27/2011,472
3/28/2011,222
3/29/2011,317
3/30/2011,168
3/31/2011,179
4/1/2011,307
4/2/2011,898
4/3/2011,1651
4/4/2011,734
4/5/2011,167
4/6/2011,413
4/7/2011,571
4/8/2011,172
4/9/2011,879
4/10/2011,1188
4/11/2011,855
4/12/2011,257
4/13/2011,209
4/14/2011,529
4/15/2011,642
4/16/2011,121
4/17/2011,1558
4/18/2011,669
4/19/2011,409
4/20/2011,613
4/21/2011,745
4/22/2011,177
4/23/2011,1462
4/24/2011,1710
4/25/2011,773
4/26/2011,678
4/27/2011,547
4/28/2011,569
4/29/2011,878
4/30/2011,1965
5/1/2011,1138
5/2/2011,847
5/3/2011,603
5/4/2011,255
5/5/2011,614
5/6/2011,894
5/7/2011,1612
5/8/2011,1401
5/9/2011,664
5/10/2011,694
5/11/2011,550
5/12/2011,695
5/13/2011,692
5/14/2011,902
5/15/2011,1582
5/16/2011,773
5/17/2011,678
5/18/2011,536
5/19/2011,735
5/20/2011,909
5/21/2011,2258
5/22/2011,1576
5/23/2011,836
5/24/2011,659
5/25/2011,740
5/26/2011,758
5/27/2011,871
5/28/2011,2001
5/29/2011,2355
5/30/2011,1549
5/31/2011,673
6/1/2011,513
6/2/2011,736
6/3/2011,898
6/4/2011,1869
6/5/2011,1685
6/6/2011,673
6/7/2011,763
6/8/2011,676
6/9/2011,563
6/10/2011,815
6/11/2011,1729
6/12/2011,1467
6/13/2011,863
6/14/2011,727
6/15/2011,769
6/16/2011,545
6/17/2011,863
6/18/2011,1807
6/19/2011,1639
6/20/2011,699
6/21/2011,774
6/22/2011,661
6/23/2011,746
6/24/2011,969
6/25/2011,1782
6/26/2011,1920
6/27/2011,854
6/28/2011,732
6/29/2011,848
6/30/2011,1027
7/1/2011,1246
7/2/2011,2204
7/3/2011,2282
7/4/2011,3065
7/5/2011,1031
7/6/2011,784
7/7/2011,754
7/8/2011,692
7/9/2011,1988
7/10/2011,1743
7/11/2011,723
7/12/2011,662
7/13/2011,748
7/14/2011,888
7/15/2011,1318
7/16/2011,2418
7/17/2011,2006
7/18/2011,841
7/19/2011,752
7/20/2011,644
7/21/2011,632
7/22/2011,562
7/23/2011,987
7/24/2011,1050
7/25/2011,568
7/26/2011,750
7/27/2011,755
7/28/2011,606
7/29/2011,670
7/30/2011,1559
7/31/2011,1524
